acctcd_n,age,atmuser,behave_scr,CARD_TYPE,CREDIT_LIM,currbal,delnum,ecomuser,CREDIT_SCORE,GENDER,hhincome,okmail,OPEN_DT,p_bankrupt,p_churn,p_revenue,p_risk,prodnum,ROC1,ROC12,ROC3,ROC6,SSN,t_asset,T_debt,T_debtserv,T_liab,writeoff,YEAR,ZIPCODE,account_id,_PartInd_
3,35,Y,450,VISA,3000.00,1000.00,1,N,711,M,29188.00,Y,30-Mar-12,0.179250546,0.285812441,0.732531494,0.945655284,3,2,59,17,29,178699,250000.00,0.00,0.00,13600.00,0,2012,92110,4370112570,1
1,46,Y,220,VISA,3000.00,1000.00,4,N,600,F,13000.00,N,26-Aug-12,0.814144958,0.229081958,0.521613458,0.351487457,3,3,62,13,32,191831,300000.00,0.00,0.00,11000.00,1,2012,85703,8071244251,0
3,55,N,220,VISA,10000.00,7500.00,0,Y,633,M,10000.00,Y,7-Mar-13,0.624242336,0.734317451,0.679279894,0.899430124,2,0,14,5,10,195078,250000.00,1500.00,75.00,251500.00,0,2013,84601,1529857447,0
1,32,N,500,MC,3000.00,625.00,4,N,681,M,81000.00,Y,12-Apr-13,0.184233158,0.65947137,0.921852264,0.872328687,3,0,14,0,10,205171,200000.00,0.00,0.00,1600.00,1,2013,80202,4209479524,0
1,31,Y,440,VISA,2000.00,0.00,1,N,543,M,25000.00,N,19-Feb-13,0.639473905,0.118320998,0.378897452,0.336591637,3,3,62,13,32,220128,200000.00,0.00,0.00,1600.00,0,2013,90020,1451776387,1
1,28,N,420,MC,6000.00,3500.00,0,N,621,F,15000.00,N,1-Oct-12,0.089750283,0.301485046,0.695617664,0.11908719,2,1,41,11,23,258109,150000.00,0.00,0.00,1600.00,0,2012,85003,520605627,1
4,49,N,320,VISA,5000.00,2575.00,4,N,606,F,62000.00,Y,8-Mar-12,0.807188667,0.96736535,0.387277008,0.707630374,3,2,59,17,29,265633,200000.00,0.00,0.00,11000.00,1,2012,85032,199430781,0
1,58,Y,340,VISA,5000.00,3450.00,4,N,744,M,43000.00,N,7-Feb-12,0.55523922,0.746040122,0.150639671,0.532241475,5,2,59,17,29,277529,200000.00,0.00,0.00,8500.00,1,2012,94109,136776897,1
3,29,N,360,VISA,6000.00,4475.00,4,N,702,M,90000.00,N,5-Jan-12,0.225792825,0.823508219,0.024650522,0.220081311,5,0,14,5,10,304514,20000.00,181500.00,12705.00,201500.00,1,2012,92108,4265195646,0
4,32,Y,260,VISA,2000.00,0.00,1,Y,558,F,29000.00,N,28-Nov-13,0.574171984,0.174641142,0.874406563,0.07534488,4,4,71,20,34,316934,20000.00,0.00,0.00,11000.00,0,2013,97209,809229459,1
1,32,N,370,MC,2000.00,0.00,4,N,735,M,38000.00,N,30-Mar-13,0.822722744,0.974314675,0.39851871,0.701702572,4,2,59,17,29,328507,250000.00,0.00,0.00,11000.00,1,2013,85703,6221563670,0
1,34,Y,380,VISA,3000.00,575.00,4,N,558,F,24846.00,N,19-Jan-14,0.519025926,0.348345018,0.933685472,0.592323656,4,2,59,17,29,342096,250000.00,0.00,0.00,16700.00,1,2014,82002,775168068,0
1,30,N,420,MC,3000.00,750.00,1,N,750,F,47309.00,N,30-Mar-13,0.282319133,0.511333669,0.896826401,0.354855473,4,1,41,11,23,342545,150000.00,0.00,0.00,1600.00,0,2013,89044,2721428267,0
1,54,N,260,VISA,9000.00,6920.00,0,N,585,M,29000.00,Y,28-Mar-14,0.202355154,0.209256958,0.205806056,0.219609663,3,1,41,11,23,360335,12500.00,1100.00,66.00,13600.00,0,2014,98101,6271786851,0
3,32,N,460,VISA,5000.00,3450.00,2,N,618,F,54000.00,Y,25-Mar-13,0.319294613,0.57303255,0.946163582,0.453639456,4,1,41,11,23,363266,150000.00,151500.00,7575.00,301500.00,0,2013,94103,9666572986,0
1,30,Y,220,VISA,6000.00,4475.00,0,N,717,F,86000.00,N,25-Jul-13,0.877935045,0.996886493,0.937410769,0.175313664,1,4,71,20,34,365858,1500.00,300000.00,15000.00,301500.00,0,2013,94103,7377018960,1
3,51,Y,500,VISA,2000.00,0.00,4,Y,600,F,15000.00,N,15-Mar-12,0.713833598,0.257488927,0.485661262,0.572971919,5,2,59,17,29,387883,200000.00,101500.00,5075.00,301500.00,1,2012,80010,5407275597,1
3,45,Y,450,VISA,3000.00,1000.00,1,N,726,M,55740.00,Y,15-Jun-12,0.526764179,0.421317091,0.974040635,0.763146459,3,2,59,17,29,391308,200000.00,0.00,0.00,11000.00,0,2012,89101,9001530786,0
3,28,N,420,VISA,4000.00,2200.00,4,Y,633,F,32668.00,Y,5-Sep-13,0.689945586,0.602189,0.146067293,0.970554119,1,2,59,17,29,396249,150000.00,0.00,0.00,11000.00,1,2013,94103,3817926638,1
1,28,Y,260,MC,4000.00,2100.00,4,Y,594,M,11000.00,Y,24-Apr-13,0.305590165,0.304670228,0.305130196,0.303290324,1,4,71,20,34,417822,15000.00,1700.00,68.00,16700.00,1,2013,94103,5764152843,1
1,26,Y,410,VISA,7000.00,5000.00,2,N,738,M,31935.00,Y,5-Apr-12,0.887517704,0.948709717,0.418113711,0.540497736,4,3,62,13,32,422092,10000.00,191500.00,13405.00,201500.00,0,2012,95109,9243622911,1
3,37,N,460,VISA,4000.00,1900.00,0,N,576,M,42000.00,Y,19-Sep-13,0.476172447,0.337129586,0.406651017,0.128565293,3,2,59,17,29,439401,250000.00,51500.00,2575.00,301500.00,0,2013,97211,7594591192,1
1,38,Y,220,VISA,3000.00,1000.00,4,N,744,F,26000.00,N,6-Jul-13,0.558696214,0.010443368,0.284569791,0.188064098,3,3,62,13,32,445543,1500.00,12100.00,726.00,13600.00,1,2013,94103,3892760921,1
1,34,N,260,VISA,5000.00,2575.00,3,Y,609,F,55000.00,Y,9-Feb-14,0.621145595,0.630773068,0.125959331,0.145214277,5,4,71,20,34,446593,15000.00,286500.00,14325.00,301500.00,0,2014,95114,5689272879,0
1,28,Y,410,VISA,2000.00,0.00,4,N,528,F,78000.00,N,22-Jan-13,0.493668138,0.25616443,0.874916284,0.399908868,1,3,62,13,32,469120,7500.00,244000.00,12200.00,251500.00,1,2013,90096,663244282,1
1,38,N,340,VISA,2000.00,0.00,3,N,726,M,55740.00,N,18-Jul-12,0.976584223,0.349561147,0.663072685,0.409026533,5,3,62,13,32,473399,12500.00,139000.00,9730.00,151500.00,1,2012,85032,4442354727,0
4,33,N,240,VISA,5000.00,3200.00,3,N,564,F,50922.00,N,19-Jan-14,0.795382586,0.847135052,0.821258819,0.92476375,5,2,59,17,29,481581,12500.00,1100.00,66.00,13600.00,1,2014,84605,4707119486,0
3,29,N,500,VISA,4000.00,2100.00,4,Y,711,M,8000.00,Y,14-Oct-13,0.161599056,0.55225777,0.856928413,0.63824584,5,0,14,0,10,501235,12500.00,139000.00,9730.00,151500.00,1,2013,83701,1456812830,1
3,28,N,220,VISA,10000.00,7500.00,0,Y,642,M,13000.00,Y,8-Dec-13,0.095528089,0.34616329,0.720845689,0.222116091,2,0,14,5,10,518033,200000.00,0.00,0.00,8500.00,0,2013,84605,9875714397,1
3,29,Y,480,MC,6000.00,3500.00,3,N,690,F,30000.00,N,27-Dec-12,0.145348932,0.388183706,0.766766319,0.252435866,5,2,59,17,29,519506,200000.00,0.00,0.00,8500.00,0,2012,95109,6537162846,1
1,27,N,220,VISA,10000.00,7500.00,0,Y,567,M,66000.00,Y,10-Jul-13,0.451755868,0.016762648,0.734259258,0.864272819,2,3,62,13,32,520928,250000.00,0.00,0.00,21500.00,0,2013,83716,737371398,0
1,61,Y,240,MC,2000.00,0.00,4,N,624,F,24000.00,N,18-Dec-12,0.866286369,0.057461915,0.961874142,0.344225235,1,2,59,17,29,542869,300000.00,0.00,0.00,251500.00,1,2012,92108,7091573643,1
3,37,Y,320,VISA,10000.00,7500.00,4,Y,687,M,14000.00,Y,10-Oct-13,0.068325793,0.0152312,0.041778497,0.935589309,2,2,59,17,29,545866,200000.00,1500.00,105.00,201500.00,1,2013,82002,7278226734,0
4,42,Y,450,VISA,3000.00,1200.00,4,N,612,F,31000.00,N,16-Dec-13,0.891502284,0.902518144,0.897010214,0.919041933,3,0,14,0,10,547567,20000.00,1500.00,60.00,21500.00,1,2013,97209,5367374194,0
2,41,N,450,MC,10000.00,7500.00,4,N,618,M,21000.00,N,22-May-14,0.491218369,0.777605913,0.134412141,0.707187228,3,3,62,13,32,551938,150000.00,0.00,0.00,1600.00,1,2014,95114,5803709857,1
3,35,Y,400,MC,2000.00,0.00,4,N,696,M,81000.00,N,30-Mar-13,0.190828778,0.089505754,0.640167266,0.437521218,4,0,14,0,10,552237,250000.00,0.00,0.00,16700.00,1,2013,85701,5653888791,1
1,34,Y,410,VISA,5000.00,3450.00,4,Y,606,F,28000.00,Y,6-Jul-13,0.588048572,0.489958578,0.039003575,0.842823586,4,3,62,13,32,555027,250000.00,0.00,0.00,13600.00,1,2013,95109,9575320561,1
4,31,N,320,VISA,5000.00,2575.00,4,N,585,F,63000.00,Y,10-Feb-12,0.876685972,0.010101758,0.443393865,0.710225437,3,2,59,17,29,599960,7500.00,144000.00,10080.00,151500.00,1,2012,85032,7546925371,0
4,29,N,360,VISA,2000.00,0.00,4,N,699,F,35000.00,N,15-Mar-12,0.394744768,0.360273049,0.377508908,0.308565471,5,0,14,0,10,600294,200000.00,1500.00,105.00,201500.00,1,2012,98120,8416972155,1
1,44,Y,440,MC,5000.00,2575.00,1,Y,741,F,46000.00,Y,15-May-14,0.438588659,0.748737851,0.093663255,0.713961638,4,0,14,5,10,600387,150000.00,0.00,0.00,1600.00,0,2014,92108,584737975,1
1,52,Y,360,MC,5000.00,3450.00,1,N,603,F,39000.00,N,1-Oct-12,0.006916574,0.870754214,0.438835394,0.166510672,3,4,71,20,34,618724,1500.00,20000.00,800.00,21500.00,0,2012,85703,3695021152,0
1,58,N,410,MC,5000.00,2575.00,0,N,618,M,32668.00,N,15-May-14,0.093428081,0.375884569,0.234656325,0.7995693,1,0,14,5,10,633736,200000.00,0.00,0.00,151500.00,0,2014,98120,9520010710,1
2,38,Y,370,VISA,3000.00,625.00,0,Y,645,M,65000.00,N,25-Aug-12,0.479035378,0.953158456,0.216096917,0.164343073,1,4,71,20,34,636019,10000.00,6700.00,268.00,16700.00,0,2012,94103,3977105880,1
1,51,N,340,MC,3000.00,750.00,0,N,639,M,15000.00,N,6-Nov-12,0.386761997,0.196183738,0.791472867,0.410316349,2,4,71,20,34,637309,10000.00,241500.00,12075.00,251500.00,0,2012,92108,1185036619,0
3,44,Y,380,VISA,3000.00,625.00,1,N,714,F,17000.00,N,14-Oct-13,0.620240638,0.292212612,0.456226625,0.800170572,4,2,59,17,29,639659,150000.00,51500.00,3605.00,201500.00,0,2013,94103,9093599626,0
3,61,N,220,MC,3000.00,575.00,0,N,738,F,17000.00,Y,30-Mar-13,0.789756581,0.397321765,0.093539173,0.308669542,1,3,62,13,32,666804,250000.00,0.00,0.00,21500.00,0,2013,98115,5796839714,1
3,28,N,450,VISA,4000.00,2100.00,4,N,741,M,27649.00,N,5-Mar-12,0.777895454,0.672248414,0.725071934,0.513777853,4,4,71,20,34,666834,300000.00,0.00,0.00,1600.00,1,2012,94103,963765793,1
1,43,Y,340,VISA,5000.00,3450.00,4,N,612,M,49000.00,N,30-Mar-12,0.957523586,0.558238789,0.257881188,0.459311593,5,2,59,17,29,670268,250000.00,0.00,0.00,21500.00,1,2012,94116,7255532750,1
1,29,N,360,MC,9000.00,6920.00,4,Y,651,M,34631.00,Y,16-May-14,0.94553157,0.226451059,0.085991315,0.647830292,3,0,14,0,10,673353,250000.00,0.00,0.00,151500.00,1,2014,84601,6307533307,1
3,38,N,360,MC,6000.00,4475.00,4,N,570,F,24000.00,N,18-Dec-12,0.825314212,0.023089647,0.924201929,0.319752801,5,0,14,5,10,696711,7500.00,0.00,0.00,1600.00,1,2012,92110,6347111480,0
1,49,Y,400,VISA,4000.00,1900.00,0,N,546,M,76214.00,N,19-Feb-13,0.256133501,0.326155991,0.791144746,0.931189727,3,1,41,11,23,713389,20000.00,281500.00,14075.00,301500.00,0,2013,90020,2320886716,1
1,32,N,420,VISA,3000.00,575.00,0,Y,591,F,51000.00,Y,25-Jul-13,0.845096509,0.788699463,0.816897986,0.704103894,1,0,14,5,10,725536,250000.00,51500.00,2575.00,301500.00,0,2013,95114,1086961898,1
4,45,Y,260,MC,2000.00,0.00,1,Y,594,M,23000.00,N,15-Dec-12,0.339553839,0.270789927,0.305171883,0.167644059,4,4,71,20,34,728751,300000.00,1500.00,75.00,301500.00,0,2012,84605,8298116479,1
1,34,Y,400,MC,3000.00,750.00,4,Y,684,F,33000.00,N,6-Dec-12,0.391555167,0.126461279,0.259008223,0.728820448,2,1,41,11,23,733009,20000.00,131500.00,9205.00,151500.00,1,2012,94116,4372866649,1
1,30,Y,420,VISA,9000.00,6920.00,1,N,717,F,25889.00,N,13-Sep-12,0.222351835,0.668946408,0.445649121,0.338838267,4,2,59,17,29,737813,12500.00,0.00,0.00,8500.00,0,2012,84605,1649824,0
2,28,N,450,VISA,3000.00,1200.00,0,Y,675,F,18000.00,Y,13-Sep-12,0.854210901,0.912423685,0.383317293,0.49974286,2,2,59,17,29,752251,20000.00,0.00,0.00,1600.00,0,2012,84601,5153371447,1
4,46,Y,440,MC,3000.00,575.00,4,N,621,M,12000.00,Y,10-Jun-13,0.064706691,0.411513791,0.738110241,0.43172444,1,0,14,5,10,754240,200000.00,0.00,0.00,1600.00,1,2013,85032,3710180001,0
1,26,Y,370,VISA,2000.00,0.00,0,Y,696,F,10000.00,N,10-Feb-12,0.965924978,0.81172411,0.888824544,0.580422808,3,1,41,11,23,778430,10000.00,3600.00,216.00,13600.00,0,2012,94103,1684977129,0
3,28,Y,220,VISA,5000.00,3450.00,4,Y,537,M,39000.00,Y,2-Jan-13,0.580260325,0.324467703,0.452364014,0.940778769,1,1,41,11,23,786960,20000.00,131500.00,9205.00,151500.00,1,2013,90082,2087038044,1
3,29,N,500,VISA,3000.00,750.00,2,Y,588,M,32000.00,Y,4-May-12,0.215702295,0.243745905,0.2297241,0.28581132,5,1,41,11,23,794381,200000.00,0.00,0.00,151500.00,0,2012,94103,3652711093,1
1,45,N,370,VISA,2000.00,0.00,4,N,630,M,61000.00,N,30-Mar-12,0.228936298,0.781662907,0.505299602,0.61075282,4,2,59,17,29,796290,7500.00,244000.00,12200.00,251500.00,1,2012,85035,8402433767,1
1,39,N,420,VISA,3000.00,1000.00,0,N,642,M,52000.00,Y,15-Sep-13,0.639328178,0.285556875,0.462442527,0.754899921,2,1,41,11,23,799427,250000.00,0.00,0.00,1600.00,0,2013,98115,3424570688,1
1,27,Y,450,MC,3000.00,1000.00,1,Y,648,F,18000.00,Y,27-Dec-12,0.087577662,0.524350698,0.80596418,0.679510253,3,1,41,11,23,801267,15000.00,186500.00,13055.00,201500.00,0,2012,80010,2178499555,0
3,28,Y,340,VISA,5000.00,3200.00,4,N,552,M,62000.00,N,5-Dec-13,0.539495004,0.258581489,0.399038247,0.837211218,3,4,71,20,34,810943,150000.00,51500.00,3605.00,201500.00,1,2013,85703,8677890440,0
4,26,N,500,MC,3000.00,1000.00,2,Y,609,F,62000.00,N,6-May-14,0.526716885,0.261868319,0.894292602,0.364595471,5,1,41,11,23,838241,150000.00,0.00,0.00,11000.00,0,2014,85035,2383937590,0
3,29,Y,240,VISA,2000.00,0.00,4,Y,723,M,19000.00,Y,9-Feb-14,0.275534849,0.893779024,0.084656937,0.321145288,4,0,14,5,10,849745,300000.00,0.00,0.00,8500.00,1,2014,83716,3110556334,1
4,35,N,340,MC,10000.00,7500.00,4,Y,702,F,19000.00,Y,30-Mar-13,0.081158078,0.001025945,0.541092012,0.380827746,3,1,41,11,23,857278,1500.00,150000.00,10500.00,151500.00,1,2013,83716,5902774868,1
3,36,N,370,MC,4000.00,2200.00,0,N,747,F,40000.00,Y,4-Dec-12,0.30797904,0.598529472,0.453254256,0.034355121,2,2,59,17,29,860826,300000.00,0.00,0.00,251500.00,0,2012,85032,3916327392,1
2,60,Y,340,VISA,10000.00,7500.00,0,N,717,F,101000.00,N,30-Jun-12,0.198641086,0.889933398,0.044287242,0.426871868,1,0,14,5,10,860978,200000.00,101500.00,5075.00,301500.00,0,2012,97211,3064334408,1
1,59,Y,240,VISA,3000.00,625.00,0,N,573,F,73000.00,N,26-Aug-12,0.740856513,0.895573379,0.818214946,0.127648676,1,0,14,0,10,865398,15000.00,0.00,0.00,13600.00,0,2012,94116,9064287627,0
4,33,N,500,VISA,3000.00,625.00,4,Y,621,F,43000.00,Y,6-Sep-12,0.945878489,0.167645719,0.556762104,0.000296565,3,0,14,5,10,890276,10000.00,141500.00,9905.00,151500.00,1,2012,82002,2577372786,1
1,28,N,370,VISA,6000.00,4475.00,2,Y,675,M,22000.00,Y,5-Apr-12,0.794886464,0.884245113,0.339565788,0.518283086,4,1,41,11,23,893131,150000.00,0.00,0.00,1600.00,0,2012,89101,8811465427,1
1,28,N,320,VISA,3000.00,1200.00,2,Y,657,M,42000.00,Y,5-Dec-13,0.634806113,0.337495467,0.48615079,0.891529498,5,2,59,17,29,906704,200000.00,101500.00,5075.00,301500.00,0,2013,85032,6914793913,1
2,30,Y,440,VISA,2000.00,0.00,4,N,669,F,86000.00,N,28-Nov-13,0.55856603,0.342582563,0.950574297,0.518607361,1,2,59,17,29,908549,20000.00,0.00,0.00,8500.00,1,2013,92108,7085563562,1
1,31,Y,410,MC,5000.00,2575.00,0,N,633,F,15000.00,N,18-May-14,0.717488582,0.478199809,0.597844195,0.119266648,3,1,41,11,23,910718,150000.00,51500.00,3605.00,201500.00,0,2014,83716,9825410605,1
1,30,Y,420,MC,3000.00,1200.00,1,N,633,F,20000.00,N,30-Mar-13,0.31699643,0.738316332,0.027656381,0.870296184,4,0,14,5,10,915968,150000.00,151500.00,7575.00,301500.00,0,2013,80202,7138142170,1
3,36,Y,500,VISA,2000.00,0.00,4,Y,675,F,22000.00,N,25-Jul-13,0.536318001,0.26268755,0.899502776,0.352241873,5,2,59,17,29,919233,200000.00,0.00,0.00,13600.00,1,2013,85032,8395535060,0
1,29,N,420,VISA,4000.00,2200.00,3,N,576,F,27000.00,N,15-Mar-12,0.205007976,0.38766932,0.296338648,0.661661335,5,3,62,13,32,920324,12500.00,0.00,0.00,11000.00,1,2012,97209,7779874661,1
3,37,N,420,VISA,4000.00,2200.00,4,Y,615,M,39000.00,Y,25-Nov-13,0.916428249,0.088431669,0.002429959,0.3464368,1,2,59,17,29,932010,15000.00,0.00,0.00,13600.00,1,2013,92110,5700079261,1
1,26,N,280,MC,9000.00,6920.00,2,Y,612,M,62000.00,Y,1-Oct-12,0.383369139,0.542717421,0.96304328,0.281739843,4,1,41,11,23,942878,15000.00,236500.00,11825.00,251500.00,0,2012,80202,9753211234,0
3,29,Y,280,MC,2000.00,0.00,2,N,585,M,43321.00,N,8-May-13,0.471892344,0.181130491,0.826511417,0.244987713,5,1,41,11,23,944838,250000.00,0.00,0.00,16700.00,0,2013,94116,8773312736,0
3,45,Y,340,VISA,2000.00,0.00,4,N,651,F,10000.00,N,26-Aug-12,0.007916294,0.205120118,0.606518206,0.000925853,1,1,41,11,23,949049,12500.00,189000.00,13230.00,201500.00,1,2012,83716,1499941815,0
1,41,Y,480,VISA,4000.00,2100.00,0,N,510,M,30000.00,N,2-Jan-13,0.850937981,0.268154564,0.059546272,0.893979439,2,0,14,0,10,950514,150000.00,0.00,0.00,16700.00,0,2013,90082,1626038072,1
2,29,Y,440,VISA,2000.00,0.00,1,N,510,M,42000.00,N,22-Jan-13,0.407775718,0.198336207,0.303055962,0.884176939,4,0,14,0,10,959396,20000.00,131500.00,9205.00,151500.00,0,2013,90096,319759268,1
3,42,N,420,MC,7000.00,5000.00,0,N,723,F,30000.00,N,15-Dec-12,0.920222968,0.928035348,0.924129158,0.939753918,3,2,59,17,29,967112,300000.00,1500.00,75.00,301500.00,0,2012,97209,3322580482,1
1,34,Y,220,MC,7000.00,5000.00,4,N,648,F,51000.00,N,21-Nov-12,0.189556656,0.486338877,0.337947767,0.93151221,4,1,41,11,23,982125,1500.00,300000.00,15000.00,301500.00,1,2012,94109,3901592961,1
3,27,N,500,VISA,3000.00,750.00,4,N,564,F,82000.00,Y,25-Mar-13,0.726966632,0.634706496,0.680836564,0.496316291,5,4,71,20,34,982703,10000.00,3600.00,216.00,13600.00,1,2013,94103,9769607801,1
1,29,Y,360,VISA,4000.00,2100.00,4,N,585,F,49000.00,Y,1-May-12,0.622205687,0.119114532,0.870660109,0.864477801,3,2,59,17,29,999326,20000.00,0.00,0.00,11000.00,1,2012,95114,3172759317,0
2,32,Y,440,VISA,3000.00,1000.00,0,N,681,F,22000.00,N,5-Mar-12,0.201240921,0.473180575,0.837210748,0.381090057,1,1,41,11,23,2460307,10000.00,11500.00,460.00,21500.00,0,2012,98101,940074074,1
3,36,Y,400,VISA,3000.00,575.00,4,N,618,F,56000.00,Y,7-Mar-13,0.735205155,0.732817043,0.234011099,0.229234875,5,1,41,11,23,2655479,1500.00,20000.00,800.00,21500.00,0,2013,83716,8684417926,0
1,28,Y,260,MC,4000.00,2100.00,4,Y,666,F,178000.00,Y,20-Jun-13,0.796065565,0.097393818,0.946729691,0.549386198,1,4,71,20,34,3401868,7500.00,294000.00,14700.00,301500.00,1,2013,84605,1521684142,1
1,42,Y,440,VISA,7000.00,5000.00,0,N,591,M,95000.00,N,5-Apr-12,0.524900387,0.209079978,0.366990183,0.735349365,1,0,14,0,10,5499030,1500.00,7000.00,350.00,8500.00,0,2012,98115,5402739805,1
2,55,Y,500,VISA,5000.00,3200.00,0,N,573,M,19000.00,N,19-Jan-14,0.034294439,0.861911678,0.948103058,0.603337536,2,1,41,11,23,6499126,20000.00,131500.00,9205.00,151500.00,0,2014,94116,8981197210,1
3,28,Y,260,MC,3000.00,1000.00,2,Y,699,M,35000.00,Y,15-Dec-12,0.123052979,0.549637297,0.836345138,0.689513774,5,4,71,20,34,7976618,250000.00,0.00,0.00,1600.00,0,2012,80010,4849223604,0
1,27,N,240,VISA,3000.00,1000.00,3,N,585,M,254000.00,N,10-Nov-13,0.003768079,0.25723291,0.630500494,0.137430156,5,1,41,11,23,8105873,12500.00,139000.00,9730.00,151500.00,1,2013,80202,6780246043,0
1,36,Y,420,VISA,7000.00,5000.00,0,Y,729,F,53000.00,N,13-Jan-14,0.234277122,0.932238508,0.583257815,0.979180587,1,1,41,11,23,8298806,300000.00,0.00,0.00,151500.00,0,2014,80202,459698118,1
4,42,N,240,VISA,3000.00,1200.00,4,N,534,M,84000.00,Y,22-Jan-13,0.988169889,0.380693312,0.684431601,0.469478448,1,4,71,20,34,10031222,300000.00,0.00,0.00,11000.00,1,2013,90096,5363149278,1
3,26,Y,410,VISA,10000.00,7500.00,0,Y,681,M,12000.00,N,1-Jun-12,0.865959632,0.331250022,0.098604827,0.029185608,2,0,14,5,10,10053203,200000.00,0.00,0.00,16700.00,0,2012,83701,5631725027,1
1,31,N,240,VISA,6000.00,4475.00,4,Y,693,F,34000.00,Y,29-Mar-14,0.227957712,0.688016382,0.957987047,0.878104388,1,3,62,13,32,10079994,200000.00,101500.00,5075.00,301500.00,1,2014,84605,7661871667,1
1,36,Y,410,VISA,7000.00,5000.00,2,N,678,M,14000.00,Y,15-May-12,0.308004435,0.678554858,0.493279646,0.234380491,4,3,62,13,32,10085293,300000.00,0.00,0.00,251500.00,0,2012,85701,8942526485,1
3,36,N,460,VISA,4000.00,1900.00,0,N,735,F,24000.00,Y,30-Jun-12,0.123019481,0.647758426,0.885388953,0.934866843,3,2,59,17,29,10486820,20000.00,181500.00,12705.00,201500.00,0,2012,98115,5937440035,1
3,28,Y,480,VISA,2000.00,0.00,4,Y,507,F,32668.00,Y,19-Feb-13,0.73096438,0.432817362,0.581890871,0.985596834,4,1,41,11,23,10490060,300000.00,0.00,0.00,8500.00,1,2013,90020,3822902503,0
1,32,Y,360,VISA,4000.00,2200.00,4,N,540,M,31000.00,N,22-Jan-13,0.516878755,0.528443093,0.522660924,0.545789599,2,1,41,11,23,10602956,1500.00,100.00,5.00,1600.00,1,2013,90096,7919029406,1
1,58,Y,240,VISA,5000.00,3450.00,2,N,642,F,55740.00,N,18-Jul-12,0.252411705,0.302784807,0.277598256,0.378344461,4,3,62,13,32,10689319,300000.00,1500.00,75.00,301500.00,0,2012,85035,6861937166,1
3,36,N,450,VISA,6000.00,3500.00,0,N,567,F,58000.00,Y,10-Jul-13,0.26283565,0.042780653,0.652808152,0.212698158,2,2,59,17,29,10954525,200000.00,0.00,0.00,13600.00,0,2013,94103,6105769121,1
4,31,N,400,VISA,3000.00,750.00,0,N,615,F,82000.00,Y,26-Jan-12,0.413047096,0.628642888,0.020844992,0.452036575,1,2,59,17,29,11036051,15000.00,236500.00,11825.00,251500.00,0,2012,98120,9622644540,1
2,28,N,220,VISA,4000.00,1900.00,4,N,726,M,39000.00,Y,4-May-12,0.977733471,0.411059063,0.194396267,0.061047452,5,4,71,20,34,11201116,250000.00,0.00,0.00,21500.00,0,2012,83716,1839502692,1
